datetime,portfolio_value,cash,positions,return
2020-08-03 15:55:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2020-08-04 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2020-08-05 09:30:00-04:00,102173.0,19189.0,"[{'asset': USD, 'quantity': 19189.0}, {'asset': GC=F, 'quantity': 41.0}]",0.021730000000000027
2020-08-06 09:30:00-04:00,102173.0,102173.0,"[{'asset': USD, 'quantity': 102173.0}]",0.0
2020-08-07 09:30:00-04:00,102389.0009765625,183993.0,"[{'asset': USD, 'quantity': 183993.0}, {'asset': GC=F, 'quantity': -40.0}]",0.00211407100273564
2020-08-08 09:30:00-04:00,102389.0009765625,249276.19921875,"[{'asset': USD, 'quantity': 249276.19921875}, {'asset': GC=F, 'quantity': -72.0}]",0.0
2020-08-10 09:30:00-04:00,102389.0009765625,102389.0009765625,"[{'asset': USD, 'quantity': 102389.0009765625}]",0.0
2020-08-11 09:30:00-04:00,102949.0009765625,183445.001953125,"[{'asset': USD, 'quantity': 183445.001953125}, {'asset': GC=F, 'quantity': -40.0}]",0.005469337474326874
2020-08-12 09:30:00-04:00,109475.20275878906,249854.20275878906,"[{'asset': USD, 'quantity': 249854.20275878906}, {'asset': GC=F, 'quantity': -73.0}]",0.06339257030490586
2020-08-13 09:30:00-04:00,109475.20275878906,109475.20275878906,"[{'asset': USD, 'quantity': 109475.20275878906}]",0.0
2020-08-14 09:30:00-04:00,109475.20275878906,109475.20275878906,"[{'asset': USD, 'quantity': 109475.20275878906}]",0.0
2020-08-15 09:30:00-04:00,109475.20275878906,109475.20275878906,"[{'asset': USD, 'quantity': 109475.20275878906}]",0.0
2020-08-17 09:30:00-04:00,109475.20275878906,109475.20275878906,"[{'asset': USD, 'quantity': 109475.20275878906}]",0.0
2020-08-18 09:30:00-04:00,111792.70275878906,21743.203857421875,"[{'asset': USD, 'quantity': 21743.203857421875}, {'asset': GC=F, 'quantity': 45.0}]",0.02116917750868419
2020-08-19 09:30:00-04:00,111792.70275878906,111792.70275878906,"[{'asset': USD, 'quantity': 111792.70275878906}]",0.0
2020-08-20 09:30:00-04:00,113538.70495605469,200892.70275878906,"[{'asset': USD, 'quantity': 200892.70275878906}, {'asset': GC=F, 'quantity': -45.0}]",0.01561821258613727
2020-08-21 09:30:00-04:00,113538.70495605469,113538.70495605469,"[{'asset': USD, 'quantity': 113538.70495605469}]",0.0
2020-08-22 09:30:00-04:00,113538.70495605469,113538.70495605469,"[{'asset': USD, 'quantity': 113538.70495605469}]",0.0
2020-08-24 09:30:00-04:00,113538.70495605469,113538.70495605469,"[{'asset': USD, 'quantity': 113538.70495605469}]",0.0
2020-08-25 09:30:00-04:00,113538.70495605469,113538.70495605469,"[{'asset': USD, 'quantity': 113538.70495605469}]",0.0
2020-08-26 09:30:00-04:00,113538.70495605469,113538.70495605469,"[{'asset': USD, 'quantity': 113538.70495605469}]",0.0
2020-08-27 09:30:00-04:00,115420.30847167969,21873.107299804688,"[{'asset': USD, 'quantity': 21873.107299804688}, {'asset': GC=F, 'quantity': 48.0}]",0.01657235315792338
2020-08-28 09:30:00-04:00,115420.30847167969,115420.30847167969,"[{'asset': USD, 'quantity': 115420.30847167969}]",0.0
2020-08-29 09:30:00-04:00,115420.30847167969,22919.509643554688,"[{'asset': USD, 'quantity': 22919.509643554688}, {'asset': GC=F, 'quantity': 48.0}]",0.0
2020-08-31 09:30:00-04:00,115420.30847167969,115420.30847167969,"[{'asset': USD, 'quantity': 115420.30847167969}]",0.0
2020-09-01 09:30:00-04:00,115420.30847167969,115420.30847167969,"[{'asset': USD, 'quantity': 115420.30847167969}]",0.0
2020-09-02 09:30:00-04:00,115420.30847167969,115420.30847167969,"[{'asset': USD, 'quantity': 115420.30847167969}]",0.0
2020-09-03 09:30:00-04:00,116839.7119140625,207883.41076660156,"[{'asset': USD, 'quantity': 207883.41076660156}, {'asset': GC=F, 'quantity': -47.0}]",0.012297692331424415
